Year,Beef and veal,Cashew nuts,Coffee,Eggs,Maize,Natural Rubber,Pepper,Pigmeat,Poultry,Rice,Sugar cane,Tea
2011,11111625.1655561,-11660963.3497808,-12359312.0288234,3895975.40106595,2390825.2247204,-18552535.1012301,60335.1218284481,-1530594.65366299,5492748.60616908,30199157.0170323,12842161.6842873,-1970169.01002978
2012,6106620.28793804,-6502358.10211476,-3519351.41357162,613262.157593962,7222925.88985204,-14264542.6101956,2319320.0908731,-3978895.2347053,-1604166.72124592,44636882.5086411,13278434.328822,-790710.756460324
2013,8967923.15024117,-1406014.47408537,-9607916.29412013,3096905.52433588,-666584.704552908,-15427458.3697851,-595725.733053628,265321.836035443,4520955.57911166,10958070.9720884,14729015.5475199,-2813139.40322525
2014,4334137.01230286,-9713112.20638656,-8420312.73430002,-2598371.43524331,9487475.76580438,-10587284.2579878,3782638.0633687,-4680650.26808946,-308385.030747328,-24104632.4007301,7174463.51008529,-2532096.38637342
2015,5427201.51484433,-5780058.61674781,-8700643.24700497,-378534.92886812,22221210.591159,-9389964.25924976,1970711.65938805,-10922404.1664653,-19045898.5164504,-38067805.1546571,13077589.6583929,-5021440.3883184
2016,4338077.98798884,-7720166.2715017,-7283593.8981749,1167112.07311336,25653119.3690159,-9257165.60500704,3465414.90201869,-12487622.8392186,-12729654.822178,-51366146.4930923,10192821.393301,-7892159.99229293
2017,2374971.96931029,-10319293.984234,-11056350.2842379,6423182.68470452,12861700.6041725,-9666275.23064347,-2511424.98126316,-6631581.08027954,-19873869.3954704,-15807570.0569734,12447995.0378814,-8511016.81991769
2018,2457786.87281575,-9704019.56426563,-12007746.9142268,4298884.01609264,10680533.1390204,-5779963.03437248,-1763930.80849951,-4842756.44177692,-25688835.4750369,-118668879.264739,14912680.31666,-9961044.66273754
2019,5412799.25875959,-8521110.67924286,-12436845.5211873,7351417.03749283,13110885.0514263,-6948773.55874175,-1759079.9574036,-6178925.85435142,-27005923.8010117,-110640787.606401,5794039.0802098,-9867477.73740858
2020,8875298.51466328,12635633.9841025,-10007373.1787929,354164.895012993,15013332.0849112,-8863217.43247021,340216.12070222,-6949110.3416679,-43018331.5724322,-114849417.419836,3950300.20812621,-8081932.97222701
2021,12335482.2606624,3584991.16250625,-16213869.0085702,-7378656.7071089,13494883.6137877,-15205644.1165453,1342522.86430146,-6391391.00595402,-51545062.0789394,-132873553.412737,2843975.66020435,-8388874.05242195
2022,9818652.66522128,-3415519.65822615,-20563467.39792,1817291.4180406,-315363.530185032,-12933680.3403911,-3164212.68693503,304126.835186949,-55696183.0018344,-134422002.421458,3491843.08046469,-8670651.63797914
2023,13210395.9658145,-1433059.52290543,-6970494.24222834,1997670.40153131,11881189.7066957,-10631616.191901,639950.896074621,0.0,-70799255.0713154,-170484664.893603,1354426.71730073,-10518520.6777197
