Area,Year,Item,Element,Unit,Value
Italy,1961,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",Production,t,
Italy,1961,Groundnut oil,Production,t,31200.0
Italy,1961,"Groundnuts, excluding shelled",Production,t,12750.0
Italy,1961,"Hazelnuts, in shell",Production,t,55379.0
Italy,1961,Hempseed,Production,t,855.0
Italy,1961,"Hen eggs in shell, fresh",Production,t,381900.0
Italy,1961,"Hen eggs in shell, fresh",Production,1000 No,6819600.0
Italy,1961,Hop cones,Production,t,
Italy,1961,"Horse meat, fresh or chilled",Production,t,46250.0
Italy,1961,Kiwi fruit,Production,t,0.0
Italy,1961,Leeks and other alliaceous vegetables,Production,t,0.0
Italy,1961,Lemons and limes,Production,t,498577.0
Italy,1961,"Lentils, dry",Production,t,14270.0
Italy,1961,Lettuce and chicory,Production,t,608300.0
Italy,1961,Linseed,Production,t,5850.0
Italy,1961,Locust beans (carobs),Production,t,105200.0
Italy,1961,Lupins,Production,t,33290.0
Italy,1961,Maize (corn),Production,t,3936000.0
Italy,1961,"Mangoes, guavas and mangosteens",Production,t,
Italy,1961,Margarine and shortening,Production,t,35000.0
Italy,1961,"Meat of buffalo, fresh or chilled",Production,t,200.0
Italy,1961,"Meat of cattle with the bone, fresh or chilled",Production,t,677100.0
Italy,1961,"Meat of chickens, fresh or chilled",Production,t,246700.0
Italy,1961,"Meat of ducks, fresh or chilled",Production,t,
Italy,1961,"Meat of geese, fresh or chilled",Production,t,
Italy,1961,"Meat of goat, fresh or chilled",Production,t,4200.0
Italy,1961,"Meat of pig with the bone, fresh or chilled",Production,t,391800.0
Italy,1961,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",Production,t,2500.0
Italy,1961,"Meat of rabbits and hares, fresh or chilled",Production,t,48870.0
Italy,1961,"Meat of sheep, fresh or chilled",Production,t,36100.0
Italy,1961,"Meat of turkeys, fresh or chilled",Production,t,14000.0
Italy,1961,Mixed grain,Production,t,
Italy,1961,Molasses,Production,t,308660.0
Italy,1961,Mushrooms and truffles,Production,t,6464.0
Italy,1961,Mustard seed,Production,t,3100.0
Italy,1961,Natural honey,Production,t,5800.0
Italy,1961,Oats,Production,t,584800.0
Italy,1961,Oil of linseed,Production,t,6200.0
Italy,1961,Oil of maize,Production,t,13200.0
Italy,1961,Oil of palm kernel,Production,t,105.0
Italy,1961,Oil of sesame seed,Production,t,9800.0
Italy,1961,Olive oil,Production,t,394100.0
Italy,1961,Olives,Production,t,2250000.0
Italy,1961,"Onions and shallots, dry (excluding dehydrated)",Production,t,369500.0
Italy,1961,"Onions and shallots, green",Production,t,400.0
Italy,1961,Oranges,Production,t,799200.0
Italy,1961,"Other beans, green",Production,t,218100.0
Italy,1961,Other berries and fruits of the genus vaccinium n.e.c.,Production,t,600.0
Italy,1961,"Other citrus fruit, n.e.c.",Production,t,51794.0
Italy,1961,"Other fruits, n.e.c.",Production,t,238260.0
Italy,1961,"Other meat of mammals, fresh or chilled",Production,t,5430.0
Italy,1961,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Production,t,3429.0
Italy,1961,"Other oil seeds, n.e.c.",Production,t,150200.0
Italy,1961,Other pome fruits,Production,t,
Italy,1961,Other pulses n.e.c.,Production,t,3900.0
Italy,1961,"Other stimulant, spice and aromatic crops, n.e.c.",Production,t,50.0
Italy,1961,Other stone fruits,Production,t,1000.0
Italy,1961,"Other tropical fruits, n.e.c.",Production,t,
Italy,1961,"Other vegetables, fresh n.e.c.",Production,t,1416000.0
Italy,1961,Peaches and nectarines,Production,t,1015000.0
Italy,1961,Pears,Production,t,791000.0
Italy,1961,"Peas, dry",Production,t,9600.0
Italy,1961,"Peas, green",Production,t,214200.0
Italy,1961,Persimmons,Production,t,70740.0
Italy,1961,"Pig fat, rendered",Production,t,75200.0
Italy,1961,"Pistachios, in shell",Production,t,2800.0
Italy,1961,Plums and sloes,Production,t,118800.0
Italy,1961,Pomelos and grapefruits,Production,t,0.0
Italy,1961,Poppy seed,Production,t,
Italy,1961,Potatoes,Production,t,3931500.0
Italy,1961,"Pumpkins, squash and gourds",Production,t,287000.0
Italy,1961,"Pyrethrum, dried flowers",Production,t,0.0
Italy,1961,Quinces,Production,t,13900.0
Italy,1961,Rape or colza seed,Production,t,9140.0
Italy,1961,"Rapeseed or canola oil, crude",Production,t,29200.0
Italy,1961,Raspberries,Production,t,427.0
Italy,1961,Raw cane or beet sugar (centrifugal only),Production,t,975000.0
Italy,1961,Raw hides and skins of buffaloes,Production,t,33.88
Italy,1961,Raw hides and skins of cattle,Production,t,109284.0
Italy,1961,Raw hides and skins of goats or kids,Production,t,1485.0
Italy,1961,Raw hides and skins of sheep or lambs,Production,t,10690.0
Italy,1961,Raw milk of buffalo,Production,t,14000.0
Italy,1961,Raw milk of cattle,Production,t,9914100.0
Italy,1961,Raw milk of goats,Production,t,204890.0
Italy,1961,Raw milk of sheep,Production,t,483640.0
Italy,1961,Raw silk (not thrown),Production,t,761.0
Italy,1961,Rice,Production,t,699800.0
Italy,1961,Rye,Production,t,95900.0
Italy,1961,"Safflower-seed oil, crude",Production,t,0.0
Italy,1961,"Seed cotton, unginned",Production,t,14000.0
